row,id.prj,id.expt,id.run,name,desc,loading,rt.pct,rt,width,slice,annot,apex,apex.n,bpi,bpi.n,err,err.n,i2nd,i2nd.n,ions,ions.n,mass,mass.n,mz,mz.n,n2nd,n2nd.n,ntt,ntt.n,pkw,pkw.n,ppm,ppm.n,scans,scans.n,tic,tic.n,uncleaved,uncleaved.n,vote,vote.n,z,z.n
71687_82,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",82.0,90.2,5.00,mw,true,320679.92,143,1281.37,176,0.95,176,26.26,176,413.72,176,2628.43,176,904.12,176,2.60,176,0,176,0.31,143,-0.60,176,1.06,176,11935.53,176,1,41,4.28,176,2.94,176
71687_82,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",82.0,90.2,5.00,mw,false,230575.72,714,560.23,834,,,23.75,834,219.75,834,3161.51,834,895.79,834,2.03,834,,,0.32,714,,,1.05,834,4994.21,834,,,,,3.47,834
71687_82,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",82.0,90.2,2.20,slot,true,396740.25,83,1602.36,101,1.07,101,26.10,101,411.99,101,2681.40,101,917.25,101,2.37,101,0,101,0.30,83,-0.25,101,1.08,101,13645.11,101,1,24,4.27,101,2.97,101
71687_82,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",82.0,90.2,2.20,slot,false,242245.31,283,491.28,340,,,28.24,340,236.99,340,2840.08,340,855.34,340,2.18,340,,,0.33,283,,,1.06,340,5077.07,340,,,,,3.30,340
71687_84,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",84.0,92.4,5.00,mw,true,363490.34,143,1562.36,181,1.27,181,30.73,181,461.25,181,2608.18,181,885.74,181,2.57,181,0,181,0.33,143,-1.14,181,1.06,181,17057.31,181,1,47,4.18,181,3,181
71687_84,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",84.0,92.4,5.00,mw,false,258462.71,741,678.83,851,,,24.71,851,231.72,851,3075.48,851,898.81,851,2.11,851,,,0.32,741,,,1.04,851,5964.21,851,,,,,3.40,851
71687_84,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",84.0,92.4,2.20,slot,true,348625.51,59,1378.14,74,0.86,74,27.77,74,452.01,74,2572.54,74,861.91,74,2.58,74,0,74,0.33,59,-1.13,74,1.03,74,12924.73,74,1,24,4.28,74,3.04,74
71687_84,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",84.0,92.4,2.20,slot,false,216692.30,328,722.03,368,,,23.27,368,207.91,368,3332.97,368,937.98,368,2.08,368,,,0.32,328,,,1.04,368,5401.55,368,,,,,3.52,368
71687_86,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",86.0,94.6,5.00,mw,true,784931.31,119,2768.20,142,1.46,142,33.79,142,501.06,142,2474.85,142,870.70,142,2.42,142,0,142,0.34,119,-1.90,142,1.06,142,24789.80,142,1,49,4.49,142,2.93,142
71687_86,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",86.0,94.6,5.00,mw,false,338856.46,788,684.04,894,,,24.87,894,224.95,894,3207.37,894,895.10,894,2.04,894,,,0.32,788,,,1.05,894,6120.85,894,,,,,3.54,894
71687_86,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",86.0,94.6,2.20,slot,true,593863.06,48,1588.12,61,1.75,61,31.21,61,523.08,61,2485.14,61,892.08,61,2.51,61,0,61,0.33,48,-1.88,61,1.03,61,24000.72,61,1,13,4.41,61,2.87,61
71687_86,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",86.0,94.6,2.20,slot,false,420752.80,368,640.45,408,,,26.22,408,231.74,408,3094.56,408,887.60,408,2.25,408,,,0.31,368,,,1.05,408,6261.72,408,,,,,3.43,408
71687_88,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",88.0,96.8,5.00,mw,true,1247724.81,106,8253.74,132,0.84,132,35.42,132,464.04,132,2575.18,132,895.50,132,1.97,132,0,132,0.34,106,-1.82,132,1.07,132,71819.19,132,1,45,4.98,132,2.98,132
71687_88,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",88.0,96.8,5.00,mw,false,279128.03,765,732.01,871,,,23.27,871,230.50,871,3455.75,871,897.61,871,1.90,871,,,0.33,765,,,1.07,871,7433.27,871,,,,,3.83,871
71687_88,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",88.0,96.8,2.20,slot,true,1549533.34,57,12808.15,67,0.85,67,43.69,67,471.31,67,2557.41,67,893.58,67,2.10,67,0,67,0.35,57,-1.91,67,1.09,67,112054.84,67,1,27,5.22,67,2.97,67
71687_88,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",88.0,96.8,2.20,slot,false,260142.32,317,745.12,373,,,23.50,373,239.58,373,3269.48,373,865.50,373,1.63,373,,,0.33,317,,,1.08,373,7596.15,373,,,,,3.79,373
71687_90,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",90.0,99.0,5.00,mw,true,1273061.75,98,9153.33,117,0.84,117,36.92,117,433.88,117,2675.28,117,896.71,117,1.68,117,0,117,0.35,98,-1.61,117,1.10,117,86096.39,117,1,41,4.80,117,3.06,117
71687_90,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",90.0,99.0,5.00,mw,false,162492.67,756,978.46,848,,,22.41,848,251.53,848,3609.43,848,897.19,848,1.82,848,,,0.35,756,,,1.10,848,8780.20,848,,,,,4.05,848
71687_90,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",90.0,99.0,2.20,slot,true,1069632.65,38,5514.92,47,0.69,47,34.03,47,399.66,47,2752.87,47,900.16,47,1.26,47,0,47,0.35,38,-1.44,47,1.11,47,43613.36,47,1,15,4.62,47,3.13,47
71687_90,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",90.0,99.0,2.20,slot,false,138586.21,336,747.44,377,,,21.80,377,232.15,377,3759.33,377,913.38,377,1.80,377,,,0.35,336,,,1.09,377,7912.38,377,,,,,4.14,377
71687_92,2862,34278,71687,"Or2013_0304_B_CF_07","5 uL inject; Std Prep","1.0",92.0,101.2,5.00,mw,true,733055.09,90,4005.27,109,0.96,109,33.36,109,371.55,109,2664.14,109,919.63,109,1.39,109,0,109,0.33,90,-1.27,109,1.09,109,35303.39,109,1,27,4.64,109,2.94,109
