row,id,name,desc,rt.pct,rt,width,slice,stat,val
54803_30,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,30.0,75.0,5.00,mw,annot,292.0
54803_30,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,30.0,75.0,5.00,slot,msms,399.0
54803_30,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,30.0,75.0,5.00,slot,apex,2.08661771718E10
54803_30,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,30.0,75.0,5.00,slot,annot,292.0
54803_32,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,32.0,80.0,5.00,mw,msms,394.0
54803_32,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,32.0,80.0,5.00,mw,apex,2.2043604254100002E10
54803_32,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,32.0,80.0,5.00,mw,annot,303.0
54803_32,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,32.0,80.0,5.00,slot,msms,394.0
54803_32,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,32.0,80.0,5.00,slot,apex,2.2043604254100002E10
54803_32,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,32.0,80.0,5.00,slot,annot,303.0
54803_34,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,34.0,85.0,5.00,mw,msms,398.0
54803_34,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,34.0,85.0,5.00,mw,apex,1.7495437504E10
54803_34,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,34.0,85.0,5.00,mw,annot,318.0
54803_34,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,34.0,85.0,5.00,slot,msms,398.0
54803_34,54803,20081129_Orbi6_NaNa_SA_FASP_blacktips_01,12,500 MCF7 cells, 7.5 ug total proteins,34.0,85.0,5.00,slot,apex,1.7495437504E10
